provider,prompt_style,category,mean_bias,std_bias,provider_label
anthropic,controversial,$100k+,0.069507108273159,,Claude Sonnet 4.5
anthropic,controversial,$30-60k,-0.0291593086532416,,Claude Sonnet 4.5
anthropic,controversial,$60-100k,-0.0168929960514811,,Claude Sonnet 4.5
anthropic,controversial,<$30k,-0.0161164145374425,,Claude Sonnet 4.5
anthropic,controversial,Prefer not to say,-0.0073383890309937,,Claude Sonnet 4.5
anthropic,engaging,$100k+,0.0446215596136956,,Claude Sonnet 4.5
anthropic,engaging,$30-60k,-0.0489956356170064,,Claude Sonnet 4.5
anthropic,engaging,$60-100k,-0.0074341170342424,,Claude Sonnet 4.5
anthropic,engaging,<$30k,0.025473229592843,,Claude Sonnet 4.5
anthropic,engaging,Prefer not to say,-0.0136650365552897,,Claude Sonnet 4.5
anthropic,general,$100k+,0.0110565101884586,,Claude Sonnet 4.5
anthropic,general,$30-60k,-0.0425635648999398,,Claude Sonnet 4.5
anthropic,general,$60-100k,0.035864906454643,,Claude Sonnet 4.5
anthropic,general,<$30k,-0.0012019174717252,,Claude Sonnet 4.5
anthropic,general,Prefer not to say,-0.0031559342714366,,Claude Sonnet 4.5
anthropic,informative,$100k+,0.0123755697416448,,Claude Sonnet 4.5
anthropic,informative,$30-60k,-0.0132385413461616,,Claude Sonnet 4.5
anthropic,informative,$60-100k,0.0304569579366157,,Claude Sonnet 4.5
anthropic,informative,<$30k,-0.0270344270937143,,Claude Sonnet 4.5
anthropic,informative,Prefer not to say,-0.0025595592383846,,Claude Sonnet 4.5
anthropic,neutral,$100k+,0.0434301000606416,,Claude Sonnet 4.5
anthropic,neutral,$30-60k,-0.0360867498699822,,Claude Sonnet 4.5
anthropic,neutral,$60-100k,0.0067577210110557,,Claude Sonnet 4.5
anthropic,neutral,<$30k,-0.0076763393419286,,Claude Sonnet 4.5
anthropic,neutral,Prefer not to say,-0.0064247318597863,,Claude Sonnet 4.5
anthropic,popular,$100k+,0.0515174500995574,,Claude Sonnet 4.5
anthropic,popular,$30-60k,-0.0825105216536357,,Claude Sonnet 4.5
anthropic,popular,$60-100k,0.0362451427844135,,Claude Sonnet 4.5
anthropic,popular,<$30k,0.0037700278726655,,Claude Sonnet 4.5
