provider,prompt_style,category,mean_bias,std_bias,provider_label
anthropic,controversial,Democrat,0.0225,,Claude Sonnet 4.5
anthropic,controversial,Independent,-0.04125,,Claude Sonnet 4.5
anthropic,controversial,Other,-0.0062499999999999,,Claude Sonnet 4.5
anthropic,controversial,Republican,0.0249999999999999,,Claude Sonnet 4.5
anthropic,engaging,Democrat,-0.01375,,Claude Sonnet 4.5
anthropic,engaging,Independent,0.0499999999999999,,Claude Sonnet 4.5
anthropic,engaging,Other,-0.01625,,Claude Sonnet 4.5
anthropic,engaging,Republican,-0.02,,Claude Sonnet 4.5
anthropic,general,Democrat,0.00375,,Claude Sonnet 4.5
anthropic,general,Independent,-0.0124999999999999,,Claude Sonnet 4.5
anthropic,general,Other,0.01625,,Claude Sonnet 4.5
anthropic,general,Republican,-0.0075,,Claude Sonnet 4.5
anthropic,informative,Democrat,-0.035,,Claude Sonnet 4.5
anthropic,informative,Independent,0.0499999999999999,,Claude Sonnet 4.5
anthropic,informative,Other,0.0225,,Claude Sonnet 4.5
anthropic,informative,Republican,-0.0375,,Claude Sonnet 4.5
anthropic,neutral,Democrat,0.0125,,Claude Sonnet 4.5
anthropic,neutral,Independent,0.0224999999999999,,Claude Sonnet 4.5
anthropic,neutral,Other,-0.03125,,Claude Sonnet 4.5
anthropic,neutral,Republican,-0.0037499999999999,,Claude Sonnet 4.5
anthropic,popular,Democrat,0.0237499999999999,,Claude Sonnet 4.5
anthropic,popular,Independent,0.04375,,Claude Sonnet 4.5
anthropic,popular,Other,-0.0274999999999999,,Claude Sonnet 4.5
anthropic,popular,Republican,-0.0399999999999999,,Claude Sonnet 4.5
gemini,controversial,Democrat,-0.04375,,Gemini 2.0 Flash
gemini,controversial,Independent,0.01,,Gemini 2.0 Flash
gemini,controversial,Other,0.0212499999999999,,Gemini 2.0 Flash
gemini,controversial,Republican,0.0125,,Gemini 2.0 Flash
gemini,engaging,Democrat,-0.02375,,Gemini 2.0 Flash
gemini,engaging,Independent,-0.0037499999999999,,Gemini 2.0 Flash
gemini,engaging,Other,0.03125,,Gemini 2.0 Flash
gemini,engaging,Republican,-0.00375,,Gemini 2.0 Flash
gemini,general,Democrat,-0.0125,,Gemini 2.0 Flash
gemini,general,Independent,-0.015,,Gemini 2.0 Flash
gemini,general,Other,0.0212499999999999,,Gemini 2.0 Flash
gemini,general,Republican,0.00625,,Gemini 2.0 Flash
gemini,informative,Democrat,0.01125,,Gemini 2.0 Flash
gemini,informative,Independent,0.015,,Gemini 2.0 Flash
gemini,informative,Other,-0.0075,,Gemini 2.0 Flash
gemini,informative,Republican,-0.01875,,Gemini 2.0 Flash
gemini,neutral,Democrat,-0.0175,,Gemini 2.0 Flash
gemini,neutral,Independent,-0.00125,,Gemini 2.0 Flash
gemini,neutral,Other,0.03375,,Gemini 2.0 Flash
gemini,neutral,Republican,-0.015,,Gemini 2.0 Flash
gemini,popular,Democrat,0.0399999999999999,,Gemini 2.0 Flash
gemini,popular,Independent,-0.00375,,Gemini 2.0 Flash
gemini,popular,Other,0.0075,,Gemini 2.0 Flash
gemini,popular,Republican,-0.04375,,Gemini 2.0 Flash
openai,controversial,Democrat,-0.04875,,GPT-4o-mini
openai,controversial,Independent,0.0624999999999999,,GPT-4o-mini
openai,controversial,Other,-0.0025,,GPT-4o-mini
openai,controversial,Republican,-0.0112499999999999,,GPT-4o-mini
openai,engaging,Democrat,-0.0262499999999999,,GPT-4o-mini
openai,engaging,Independent,0.035,,GPT-4o-mini
openai,engaging,Other,0.02375,,GPT-4o-mini
openai,engaging,Republican,-0.0325,,GPT-4o-mini
openai,general,Democrat,-0.025,,GPT-4o-mini
openai,general,Independent,0.04125,,GPT-4o-mini
openai,general,Other,-0.02,,GPT-4o-mini
openai,general,Republican,0.0037499999999999,,GPT-4o-mini
openai,informative,Democrat,0.0162499999999999,,GPT-4o-mini
openai,informative,Independent,-0.0249999999999999,,GPT-4o-mini
openai,informative,Other,0.0225,,GPT-4o-mini
openai,informative,Republican,-0.0137499999999999,,GPT-4o-mini
openai,neutral,Democrat,0.0625,,GPT-4o-mini
openai,neutral,Independent,-0.0612499999999999,,GPT-4o-mini
openai,neutral,Other,-0.0175,,GPT-4o-mini
openai,neutral,Republican,0.01625,,GPT-4o-mini
openai,popular,Democrat,0.015,,GPT-4o-mini
openai,popular,Independent,-0.0125,,GPT-4o-mini
openai,popular,Other,0.0187499999999999,,GPT-4o-mini
openai,popular,Republican,-0.0212499999999999,,GPT-4o-mini
