provider,prompt_style,category,mean_bias,std_bias,provider_label
anthropic,controversial,$100k+,0.0510103037602033,,Claude Sonnet 4.5
anthropic,controversial,$30-60k,-0.0450636785180272,,Claude Sonnet 4.5
anthropic,controversial,$60-100k,0.0207343538186747,,Claude Sonnet 4.5
anthropic,controversial,<$30k,-0.0271568952577103,,Claude Sonnet 4.5
anthropic,controversial,Prefer not to say,0.0004759161968594,,Claude Sonnet 4.5
anthropic,engaging,$100k+,0.0342839000265512,,Claude Sonnet 4.5
anthropic,engaging,$30-60k,-0.0277620496284424,,Claude Sonnet 4.5
anthropic,engaging,$60-100k,0.0233243123066637,,Claude Sonnet 4.5
anthropic,engaging,<$30k,-0.0253644398806153,,Claude Sonnet 4.5
anthropic,engaging,Prefer not to say,-0.0044817228241571,,Claude Sonnet 4.5
anthropic,general,$100k+,0.0474481811942347,,Claude Sonnet 4.5
anthropic,general,$30-60k,-0.0456499656829101,,Claude Sonnet 4.5
anthropic,general,$60-100k,0.0353342484557309,,Claude Sonnet 4.5
anthropic,general,<$30k,-0.0291077556623198,,Claude Sonnet 4.5
anthropic,general,Prefer not to say,-0.0080247083047357,,Claude Sonnet 4.5
anthropic,informative,$100k+,0.0410171835360194,,Claude Sonnet 4.5
anthropic,informative,$30-60k,-0.0503970597331931,,Claude Sonnet 4.5
anthropic,informative,$60-100k,0.0382095942426975,,Claude Sonnet 4.5
anthropic,informative,<$30k,-0.0254136209408268,,Claude Sonnet 4.5
anthropic,informative,Prefer not to say,-0.003416097104697,,Claude Sonnet 4.5
anthropic,neutral,$100k+,0.0323537081485535,,Claude Sonnet 4.5
anthropic,neutral,$30-60k,-0.0383716133136665,,Claude Sonnet 4.5
anthropic,neutral,$60-100k,0.0209480259349591,,Claude Sonnet 4.5
anthropic,neutral,<$30k,-0.0307777823526989,,Claude Sonnet 4.5
anthropic,neutral,Prefer not to say,0.0158476615828527,,Claude Sonnet 4.5
anthropic,popular,$100k+,0.0428381088030336,,Claude Sonnet 4.5
anthropic,popular,$30-60k,-0.0659196275865359,,Claude Sonnet 4.5
anthropic,popular,$60-100k,0.057972900423409,,Claude Sonnet 4.5
anthropic,popular,<$30k,-0.02036274289335,,Claude Sonnet 4.5
anthropic,popular,Prefer not to say,-0.0145286387465567,,Claude Sonnet 4.5
gemini,controversial,$100k+,0.0539635902142695,,Gemini 2.0 Flash
gemini,controversial,$30-60k,-0.0607794279781444,,Gemini 2.0 Flash
gemini,controversial,$60-100k,0.0170714936847234,,Gemini 2.0 Flash
gemini,controversial,<$30k,0.0053756127936527,,Gemini 2.0 Flash
gemini,controversial,Prefer not to say,-0.0156312687145013,,Gemini 2.0 Flash
gemini,engaging,$100k+,0.0270703286650839,,Gemini 2.0 Flash
gemini,engaging,$30-60k,-0.0114593542860046,,Gemini 2.0 Flash
gemini,engaging,$60-100k,-0.0039111653199166,,Gemini 2.0 Flash
gemini,engaging,<$30k,-0.0175362097880774,,Gemini 2.0 Flash
gemini,engaging,Prefer not to say,0.0058364007289148,,Gemini 2.0 Flash
gemini,general,$100k+,-0.0065123901535796,,Gemini 2.0 Flash
gemini,general,$30-60k,-0.0102566878457782,,Gemini 2.0 Flash
gemini,general,$60-100k,0.0232615582948201,,Gemini 2.0 Flash
gemini,general,<$30k,0.0114095930673873,,Gemini 2.0 Flash
gemini,general,Prefer not to say,-0.0179020733628496,,Gemini 2.0 Flash
gemini,informative,$100k+,0.0240470684244025,,Gemini 2.0 Flash
gemini,informative,$30-60k,-0.0398482444020118,,Gemini 2.0 Flash
gemini,informative,$60-100k,0.0034711252661709,,Gemini 2.0 Flash
gemini,informative,<$30k,0.0077687089290491,,Gemini 2.0 Flash
gemini,informative,Prefer not to say,0.0045613417823891,,Gemini 2.0 Flash
gemini,neutral,$100k+,0.0215093056027989,,Gemini 2.0 Flash
gemini,neutral,$30-60k,-0.0301783371398027,,Gemini 2.0 Flash
gemini,neutral,$60-100k,0.0223127136077231,,Gemini 2.0 Flash
gemini,neutral,<$30k,-0.0128577676271927,,Gemini 2.0 Flash
gemini,neutral,Prefer not to say,-0.0007859144435265,,Gemini 2.0 Flash
gemini,popular,$100k+,0.0132482522057192,,Gemini 2.0 Flash
gemini,popular,$30-60k,-0.020330729892544,,Gemini 2.0 Flash
gemini,popular,$60-100k,0.0022469609142571,,Gemini 2.0 Flash
gemini,popular,<$30k,0.0174335724403133,,Gemini 2.0 Flash
gemini,popular,Prefer not to say,-0.0125980556677455,,Gemini 2.0 Flash
openai,controversial,$100k+,0.0358507660822731,,GPT-4o-mini
openai,controversial,$30-60k,-0.0237651620818849,,GPT-4o-mini
openai,controversial,$60-100k,-0.0213592054194237,,GPT-4o-mini
openai,controversial,<$30k,-0.0006497301409755,,GPT-4o-mini
openai,controversial,Prefer not to say,0.0099233315600111,,GPT-4o-mini
openai,engaging,$100k+,0.0170081651181661,,GPT-4o-mini
openai,engaging,$30-60k,0.0045502699998528,,GPT-4o-mini
openai,engaging,$60-100k,-0.0199806430623198,,GPT-4o-mini
openai,engaging,<$30k,-0.011829012627241,,GPT-4o-mini
openai,engaging,Prefer not to say,0.0102512205715419,,GPT-4o-mini
openai,general,$100k+,0.0077804694274433,,GPT-4o-mini
openai,general,$30-60k,-0.0010070885564432,,GPT-4o-mini
openai,general,$60-100k,-0.0287057070456209,,GPT-4o-mini
openai,general,<$30k,0.0271977050588047,,GPT-4o-mini
openai,general,Prefer not to say,-0.0052653788841837,,GPT-4o-mini
openai,informative,$100k+,0.038659933130027,,GPT-4o-mini
openai,informative,$30-60k,-0.0091721438674139,,GPT-4o-mini
openai,informative,$60-100k,-0.0029565611373491,,GPT-4o-mini
openai,informative,<$30k,-0.0111501564726944,,GPT-4o-mini
openai,informative,Prefer not to say,-0.0153810716525695,,GPT-4o-mini
openai,neutral,$100k+,0.0003092657791707,,GPT-4o-mini
openai,neutral,$30-60k,-0.0455962057862797,,GPT-4o-mini
openai,neutral,$60-100k,0.01225906716931,,GPT-4o-mini
openai,neutral,<$30k,0.0187837448661102,,GPT-4o-mini
openai,neutral,Prefer not to say,0.0142441279716886,,GPT-4o-mini
openai,popular,$100k+,0.0198465677875686,,GPT-4o-mini
openai,popular,$30-60k,-0.0264333449914205,,GPT-4o-mini
openai,popular,$60-100k,0.0015465694289599,,GPT-4o-mini
openai,popular,<$30k,0.0084209689006844,,GPT-4o-mini
openai,popular,Prefer not to say,-0.0033807611257924,,GPT-4o-mini
