provider,prompt_style,mean_bias,std_bias,provider_label
anthropic,controversial,-0.0268333755541395,,Claude Sonnet 4.5
anthropic,engaging,-0.0798472213091125,,Claude Sonnet 4.5
anthropic,general,0.0497745044545845,,Claude Sonnet 4.5
anthropic,informative,0.1580054230995728,,Claude Sonnet 4.5
anthropic,neutral,-0.010520138648208,,Claude Sonnet 4.5
anthropic,popular,-0.1121146580494601,,Claude Sonnet 4.5
gemini,controversial,0.028347572922353,,Gemini 2.0 Flash
gemini,engaging,-0.0088637425411475,,Gemini 2.0 Flash
gemini,general,0.1030133850562662,,Gemini 2.0 Flash
gemini,informative,0.2313027981649931,,Gemini 2.0 Flash
gemini,neutral,0.046499249757944,,Gemini 2.0 Flash
gemini,popular,0.0637541888077198,,Gemini 2.0 Flash
openai,controversial,0.0175248703436151,,GPT-4o-mini
openai,engaging,0.0791249207916457,,GPT-4o-mini
openai,general,0.1245845521351719,,GPT-4o-mini
openai,informative,0.1518171910538286,,GPT-4o-mini
openai,neutral,0.0339835602993497,,GPT-4o-mini
openai,popular,0.071603807530012,,GPT-4o-mini
