provider,prompt_style,mean_bias,std_bias,provider_label
anthropic,controversial,-0.208978445758878,,Claude Sonnet 4.5
anthropic,engaging,-0.0850728298615501,,Claude Sonnet 4.5
anthropic,general,-0.0927898862001078,,Claude Sonnet 4.5
anthropic,informative,-0.0960035141915687,,Claude Sonnet 4.5
anthropic,neutral,-0.0230834222703517,,Claude Sonnet 4.5
anthropic,popular,-0.1056874099776113,,Claude Sonnet 4.5
gemini,controversial,-0.2321085451921816,,Gemini 2.0 Flash
gemini,engaging,-0.1038428196481029,,Gemini 2.0 Flash
gemini,general,-0.0546463828021248,,Gemini 2.0 Flash
gemini,informative,-0.1089600335011539,,Gemini 2.0 Flash
gemini,neutral,-0.0781185118360824,,Gemini 2.0 Flash
gemini,popular,-0.0671157837457011,,Gemini 2.0 Flash
openai,controversial,-0.2502511476358273,,GPT-4o-mini
openai,engaging,0.0175587637634989,,GPT-4o-mini
openai,general,-0.0280258414270217,,GPT-4o-mini
openai,informative,-0.1045956440327268,,GPT-4o-mini
openai,neutral,-0.0305318885448916,,GPT-4o-mini
openai,popular,0.0366773536357986,,GPT-4o-mini
