provider,prompt_style,mean_bias,std_bias,provider_label
anthropic,controversial,0.0821271525198938,,Claude Sonnet 4.5
anthropic,engaging,0.0911414312581063,,Claude Sonnet 4.5
anthropic,general,0.0194709921465968,,Claude Sonnet 4.5
anthropic,informative,-0.0477114531249999,,Claude Sonnet 4.5
anthropic,neutral,-0.0428437091836734,,Claude Sonnet 4.5
anthropic,popular,-0.002920325613079,,Claude Sonnet 4.5
gemini,controversial,0.069636267141009,,Gemini 2.0 Flash
gemini,engaging,-0.059614947368421,,Gemini 2.0 Flash
gemini,general,0.0107428239159001,,Gemini 2.0 Flash
gemini,informative,0.0186629749340369,,Gemini 2.0 Flash
gemini,neutral,0.07903226819407,,Gemini 2.0 Flash
gemini,popular,-0.034195074385511,,Gemini 2.0 Flash
openai,controversial,-0.0081549142480211,,GPT-4o-mini
openai,engaging,-0.0461966842105263,,GPT-4o-mini
openai,general,0.0802823109354413,,GPT-4o-mini
openai,informative,-0.0531838037809647,,GPT-4o-mini
openai,neutral,0.0544874667519181,,GPT-4o-mini
openai,popular,-0.0020169399477806,,GPT-4o-mini
