provider,prompt_style,mean_bias,std_bias,provider_label
anthropic,controversial,-0.2047052448828512,,Claude Sonnet 4.5
anthropic,engaging,-0.0653245663731907,,Claude Sonnet 4.5
anthropic,general,-0.0740206506264606,,Claude Sonnet 4.5
anthropic,informative,-0.1240952071250577,,Claude Sonnet 4.5
anthropic,neutral,-0.0599091236820074,,Claude Sonnet 4.5
anthropic,popular,-0.0568378985308119,,Claude Sonnet 4.5
gemini,controversial,-0.186385683033544,,Gemini 2.0 Flash
gemini,engaging,-0.1124745246269429,,Gemini 2.0 Flash
gemini,general,-0.090259718376805,,Gemini 2.0 Flash
gemini,informative,-0.0839889834019876,,Gemini 2.0 Flash
gemini,neutral,-0.0594084086531652,,Gemini 2.0 Flash
gemini,popular,-0.0942435418069977,,Gemini 2.0 Flash
openai,controversial,-0.212874160844156,,GPT-4o-mini
openai,engaging,-0.0218385432179054,,GPT-4o-mini
openai,general,-0.0305954941817501,,GPT-4o-mini
openai,informative,-0.1306387052456798,,GPT-4o-mini
openai,neutral,-0.0779998254848958,,GPT-4o-mini
openai,popular,-0.0248740236586746,,GPT-4o-mini
