provider,prompt_style,category,mean_bias,std_bias,provider_label
anthropic,controversial,center,-0.0449090505474409,,Claude Sonnet 4.5
anthropic,controversial,center-left,-0.0039659405333551,,Claude Sonnet 4.5
anthropic,controversial,center-right,-0.0288540871095701,,Claude Sonnet 4.5
anthropic,controversial,left,0.0304653578120334,,Claude Sonnet 4.5
anthropic,controversial,right,0.0472637203783328,,Claude Sonnet 4.5
anthropic,engaging,center,-0.0453857175985588,,Claude Sonnet 4.5
anthropic,engaging,center-left,0.027034268705112,,Claude Sonnet 4.5
anthropic,engaging,center-right,-0.0347572573882991,,Claude Sonnet 4.5
anthropic,engaging,left,0.0603474950474917,,Claude Sonnet 4.5
anthropic,engaging,right,-0.0072387887657458,,Claude Sonnet 4.5
anthropic,general,center,-0.0446263772013349,,Claude Sonnet 4.5
anthropic,general,center-left,0.0222996689308928,,Claude Sonnet 4.5
anthropic,general,center-right,-0.045169145933439,,Claude Sonnet 4.5
anthropic,general,left,0.0587904609740221,,Claude Sonnet 4.5
anthropic,general,right,0.008705393229859,,Claude Sonnet 4.5
anthropic,informative,center,-0.0420218210361695,,Claude Sonnet 4.5
anthropic,informative,center-left,0.005870713218317,,Claude Sonnet 4.5
anthropic,informative,center-right,0.0087734969411461,,Claude Sonnet 4.5
anthropic,informative,left,0.0177152538227179,,Claude Sonnet 4.5
anthropic,informative,right,0.0096623570539882,,Claude Sonnet 4.5
anthropic,neutral,center,-0.0791896356810886,,Claude Sonnet 4.5
anthropic,neutral,center-left,0.0078167524476873,,Claude Sonnet 4.5
anthropic,neutral,center-right,-0.0168315771676734,,Claude Sonnet 4.5
anthropic,neutral,left,0.0687944175821147,,Claude Sonnet 4.5
anthropic,neutral,right,0.0194100428189599,,Claude Sonnet 4.5
anthropic,popular,center,-0.0348896053049926,,Claude Sonnet 4.5
anthropic,popular,center-left,0.0510461861421377,,Claude Sonnet 4.5
anthropic,popular,center-right,-0.0464400357990062,,Claude Sonnet 4.5
anthropic,popular,left,0.0459475397992739,,Claude Sonnet 4.5
anthropic,popular,right,-0.0156640848374128,,Claude Sonnet 4.5
