provider,prompt_style,mean_bias,std_bias,provider_label
anthropic,controversial,0.0015853137128072,,Claude Sonnet 4.5
anthropic,engaging,-0.0020255811518324,,Claude Sonnet 4.5
anthropic,general,-0.002310445872801,,Claude Sonnet 4.5
anthropic,informative,-0.0032267702702702,,Claude Sonnet 4.5
anthropic,neutral,-0.0033589767596281,,Claude Sonnet 4.5
anthropic,popular,0.0019959317871759,,Claude Sonnet 4.5
gemini,controversial,-0.0046791744186046,,Gemini 2.0 Flash
gemini,engaging,0.0055095897435897,,Gemini 2.0 Flash
gemini,general,-0.0099076538461538,,Gemini 2.0 Flash
gemini,informative,0.0128427207792207,,Gemini 2.0 Flash
gemini,neutral,0.0021974375,,Gemini 2.0 Flash
gemini,popular,0.0059640104166666,,Gemini 2.0 Flash
openai,controversial,0.0045890414507772,,GPT-4o-mini
openai,engaging,0.0017185538057742,,GPT-4o-mini
openai,general,-0.0020054544287548,,GPT-4o-mini
openai,informative,-0.0043183041237113,,GPT-4o-mini
openai,neutral,0.0035223684210526,,GPT-4o-mini
openai,popular,0.0075437961783439,,GPT-4o-mini
