provider,prompt_style,directional_bias,feature,provider_display,prompt_display
anthropic,general,0.0747477813535922,polarization_score,Claude Sonnet 4.5,General
anthropic,popular,0.0214820573398315,polarization_score,Claude Sonnet 4.5,Popular
anthropic,engaging,0.0694231710557254,polarization_score,Claude Sonnet 4.5,Engaging
anthropic,informative,0.2269605363823341,polarization_score,Claude Sonnet 4.5,Informative
anthropic,controversial,0.3952972853913509,polarization_score,Claude Sonnet 4.5,Controversial
anthropic,neutral,0.0662001052975087,polarization_score,Claude Sonnet 4.5,Neutral
gemini,general,0.0750277365252894,polarization_score,Gemini 2.0 Flash,General
gemini,popular,0.0519186876522923,polarization_score,Gemini 2.0 Flash,Popular
gemini,engaging,0.1496670358596482,polarization_score,Gemini 2.0 Flash,Engaging
gemini,informative,0.1589617809773336,polarization_score,Gemini 2.0 Flash,Informative
gemini,controversial,0.2890784311371399,polarization_score,Gemini 2.0 Flash,Controversial
gemini,neutral,0.0850903809045464,polarization_score,Gemini 2.0 Flash,Neutral
openai,general,0.1182674937720907,polarization_score,GPT-4o-mini,General
openai,popular,0.0853352466802551,polarization_score,GPT-4o-mini,Popular
openai,engaging,0.0741942509248514,polarization_score,GPT-4o-mini,Engaging
openai,informative,0.2627113881372805,polarization_score,GPT-4o-mini,Informative
openai,controversial,0.3892076812513018,polarization_score,GPT-4o-mini,Controversial
openai,neutral,0.1971473020211516,polarization_score,GPT-4o-mini,Neutral
anthropic,general,-0.0740206506264606,sentiment_polarity,Claude Sonnet 4.5,General
anthropic,popular,-0.0568378985308119,sentiment_polarity,Claude Sonnet 4.5,Popular
anthropic,engaging,-0.0653245663731907,sentiment_polarity,Claude Sonnet 4.5,Engaging
anthropic,informative,-0.1240952071250577,sentiment_polarity,Claude Sonnet 4.5,Informative
anthropic,controversial,-0.2047052448828512,sentiment_polarity,Claude Sonnet 4.5,Controversial
anthropic,neutral,-0.0599091236820074,sentiment_polarity,Claude Sonnet 4.5,Neutral
gemini,general,-0.090259718376805,sentiment_polarity,Gemini 2.0 Flash,General
gemini,popular,-0.0942435418069977,sentiment_polarity,Gemini 2.0 Flash,Popular
gemini,engaging,-0.1124745246269429,sentiment_polarity,Gemini 2.0 Flash,Engaging
gemini,informative,-0.0839889834019876,sentiment_polarity,Gemini 2.0 Flash,Informative
gemini,controversial,-0.186385683033544,sentiment_polarity,Gemini 2.0 Flash,Controversial
gemini,neutral,-0.0594084086531652,sentiment_polarity,Gemini 2.0 Flash,Neutral
openai,general,-0.0305954941817501,sentiment_polarity,GPT-4o-mini,General
openai,popular,-0.0248740236586746,sentiment_polarity,GPT-4o-mini,Popular
openai,engaging,-0.0218385432179054,sentiment_polarity,GPT-4o-mini,Engaging
openai,informative,-0.1306387052456798,sentiment_polarity,GPT-4o-mini,Informative
openai,controversial,-0.212874160844156,sentiment_polarity,GPT-4o-mini,Controversial
openai,neutral,-0.0779998254848958,sentiment_polarity,GPT-4o-mini,Neutral
anthropic,general,-0.0133541455843982,toxicity,Claude Sonnet 4.5,General
anthropic,popular,0.0020953973623048,toxicity,Claude Sonnet 4.5,Popular
anthropic,engaging,0.0112998212863702,toxicity,Claude Sonnet 4.5,Engaging
anthropic,informative,-0.0320992031718291,toxicity,Claude Sonnet 4.5,Informative
anthropic,controversial,0.0229962360620881,toxicity,Claude Sonnet 4.5,Controversial
anthropic,neutral,-0.0020189384348327,toxicity,Claude Sonnet 4.5,Neutral
gemini,general,-0.0021761734952412,toxicity,Gemini 2.0 Flash,General
gemini,popular,0.0203387182286262,toxicity,Gemini 2.0 Flash,Popular
gemini,engaging,0.045794289644782,toxicity,Gemini 2.0 Flash,Engaging
gemini,informative,-0.0243860666546201,toxicity,Gemini 2.0 Flash,Informative
gemini,controversial,0.05926722371216,toxicity,Gemini 2.0 Flash,Controversial
gemini,neutral,-0.0085689082907669,toxicity,Gemini 2.0 Flash,Neutral
openai,general,-0.0019114279745108,toxicity,GPT-4o-mini,General
openai,popular,0.0226924306732397,toxicity,GPT-4o-mini,Popular
openai,engaging,0.0241837622480206,toxicity,GPT-4o-mini,Engaging
openai,informative,-0.0264749517431906,toxicity,GPT-4o-mini,Informative
openai,controversial,0.0414676508622796,toxicity,GPT-4o-mini,Controversial
openai,neutral,0.0206586226686883,toxicity,GPT-4o-mini,Neutral
