provider,prompt_style,directional_bias,feature,provider_display,prompt_display
openai,general,0.0587837500000001,polarization_score,GPT-4o-mini,General
openai,popular,-0.0230463749999998,polarization_score,GPT-4o-mini,Popular
openai,engaging,-0.0439369999999999,polarization_score,GPT-4o-mini,Engaging
openai,informative,-0.025125625,polarization_score,GPT-4o-mini,Informative
openai,controversial,0.0025402499999999,polarization_score,GPT-4o-mini,Controversial
openai,neutral,0.007027875,polarization_score,GPT-4o-mini,Neutral
anthropic,general,0.01078475,polarization_score,Claude Sonnet 4.5,General
anthropic,popular,0.02621125,polarization_score,Claude Sonnet 4.5,Popular
anthropic,engaging,0.032700875,polarization_score,Claude Sonnet 4.5,Engaging
anthropic,informative,0.0180181249999999,polarization_score,Claude Sonnet 4.5,Informative
anthropic,controversial,0.0014081249999999,polarization_score,Claude Sonnet 4.5,Controversial
anthropic,neutral,-0.002797625,polarization_score,Claude Sonnet 4.5,Neutral
gemini,general,-0.0022543749999999,polarization_score,Gemini 2.0 Flash,General
gemini,popular,-0.0115788749999999,polarization_score,Gemini 2.0 Flash,Popular
gemini,engaging,0.0075602499999999,polarization_score,Gemini 2.0 Flash,Engaging
gemini,informative,0.0009521249999999,polarization_score,Gemini 2.0 Flash,Informative
gemini,controversial,0.0079852499999999,polarization_score,Gemini 2.0 Flash,Controversial
gemini,neutral,0.0066347500000001,polarization_score,Gemini 2.0 Flash,Neutral
openai,general,-0.0597918749999999,sentiment_polarity,GPT-4o-mini,General
openai,popular,0.04108575,sentiment_polarity,GPT-4o-mini,Popular
openai,engaging,0.0492621249999999,sentiment_polarity,GPT-4o-mini,Engaging
openai,informative,-0.002721125,sentiment_polarity,GPT-4o-mini,Informative
openai,controversial,0.0558054999999999,sentiment_polarity,GPT-4o-mini,Controversial
openai,neutral,0.08162475,sentiment_polarity,GPT-4o-mini,Neutral
anthropic,general,0.0302425,sentiment_polarity,Claude Sonnet 4.5,General
anthropic,popular,0.0062872499999999,sentiment_polarity,Claude Sonnet 4.5,Popular
anthropic,engaging,-0.003591625,sentiment_polarity,Claude Sonnet 4.5,Engaging
anthropic,informative,0.0636951249999999,sentiment_polarity,Claude Sonnet 4.5,Informative
anthropic,controversial,-0.0254812499999999,sentiment_polarity,Claude Sonnet 4.5,Controversial
anthropic,neutral,-0.0731687499999999,sentiment_polarity,Claude Sonnet 4.5,Neutral
gemini,general,0.0047475,sentiment_polarity,Gemini 2.0 Flash,General
gemini,popular,0.003869375,sentiment_polarity,Gemini 2.0 Flash,Popular
gemini,engaging,0.066955125,sentiment_polarity,Gemini 2.0 Flash,Engaging
gemini,informative,-0.0428325,sentiment_polarity,Gemini 2.0 Flash,Informative
gemini,controversial,-0.0014033749999999,sentiment_polarity,Gemini 2.0 Flash,Controversial
gemini,neutral,-0.028042875,sentiment_polarity,Gemini 2.0 Flash,Neutral
openai,general,0.001096125,toxicity,GPT-4o-mini,General
openai,popular,0.0016952499999999,toxicity,GPT-4o-mini,Popular
openai,engaging,0.0064973749999999,toxicity,GPT-4o-mini,Engaging
openai,informative,-0.0056016249999999,toxicity,GPT-4o-mini,Informative
openai,controversial,-0.0063733749999999,toxicity,GPT-4o-mini,Controversial
openai,neutral,0.0059242499999999,toxicity,GPT-4o-mini,Neutral
anthropic,general,-0.001917375,toxicity,Claude Sonnet 4.5,General
anthropic,popular,0.000586,toxicity,Claude Sonnet 4.5,Popular
anthropic,engaging,-0.003687625,toxicity,Claude Sonnet 4.5,Engaging
anthropic,informative,0.0109804999999999,toxicity,Claude Sonnet 4.5,Informative
anthropic,controversial,0.0044957499999999,toxicity,Claude Sonnet 4.5,Controversial
anthropic,neutral,-0.00796225,toxicity,Claude Sonnet 4.5,Neutral
gemini,general,0.003215,toxicity,Gemini 2.0 Flash,General
gemini,popular,0.0083271249999999,toxicity,Gemini 2.0 Flash,Popular
gemini,engaging,0.00658375,toxicity,Gemini 2.0 Flash,Engaging
gemini,informative,-0.0028061249999999,toxicity,Gemini 2.0 Flash,Informative
gemini,controversial,-0.0001437499999999,toxicity,Gemini 2.0 Flash,Controversial
gemini,neutral,-0.001137875,toxicity,Gemini 2.0 Flash,Neutral
