feature,provider,provider_display,prompt_style,prompt_display,directional_bias
polarization_score,anthropic,Claude Sonnet 4.5,neutral,Neutral,-0.002797625
polarization_score,anthropic,Claude Sonnet 4.5,general,General,0.01078475
polarization_score,anthropic,Claude Sonnet 4.5,popular,Popular,0.02621125
polarization_score,anthropic,Claude Sonnet 4.5,engaging,Engaging,0.032700875
polarization_score,anthropic,Claude Sonnet 4.5,informative,Informative,0.0180181249999999
polarization_score,anthropic,Claude Sonnet 4.5,controversial,Controversial,0.0014081249999999
polarization_score,openai,GPT-4o-mini,neutral,Neutral,0.007027875
polarization_score,openai,GPT-4o-mini,general,General,0.0587837500000001
polarization_score,openai,GPT-4o-mini,popular,Popular,-0.0230463749999998
polarization_score,openai,GPT-4o-mini,engaging,Engaging,-0.0439369999999999
polarization_score,openai,GPT-4o-mini,informative,Informative,-0.025125625
polarization_score,openai,GPT-4o-mini,controversial,Controversial,0.0025402499999999
polarization_score,gemini,Gemini 2.0 Flash,neutral,Neutral,0.0066347500000001
polarization_score,gemini,Gemini 2.0 Flash,general,General,-0.0022543749999999
polarization_score,gemini,Gemini 2.0 Flash,popular,Popular,-0.0115788749999999
polarization_score,gemini,Gemini 2.0 Flash,engaging,Engaging,0.0075602499999999
polarization_score,gemini,Gemini 2.0 Flash,informative,Informative,0.0009521249999999
polarization_score,gemini,Gemini 2.0 Flash,controversial,Controversial,0.0079852499999999
sentiment_polarity,anthropic,Claude Sonnet 4.5,neutral,Neutral,-0.0731687499999999
sentiment_polarity,anthropic,Claude Sonnet 4.5,general,General,0.0302425
sentiment_polarity,anthropic,Claude Sonnet 4.5,popular,Popular,0.0062872499999999
sentiment_polarity,anthropic,Claude Sonnet 4.5,engaging,Engaging,-0.003591625
sentiment_polarity,anthropic,Claude Sonnet 4.5,informative,Informative,0.0636951249999999
sentiment_polarity,anthropic,Claude Sonnet 4.5,controversial,Controversial,-0.0254812499999999
sentiment_polarity,openai,GPT-4o-mini,neutral,Neutral,0.08162475
sentiment_polarity,openai,GPT-4o-mini,general,General,-0.0597918749999999
sentiment_polarity,openai,GPT-4o-mini,popular,Popular,0.04108575
sentiment_polarity,openai,GPT-4o-mini,engaging,Engaging,0.0492621249999999
sentiment_polarity,openai,GPT-4o-mini,informative,Informative,-0.002721125
sentiment_polarity,openai,GPT-4o-mini,controversial,Controversial,0.0558054999999999
sentiment_polarity,gemini,Gemini 2.0 Flash,neutral,Neutral,-0.028042875
sentiment_polarity,gemini,Gemini 2.0 Flash,general,General,0.0047475
sentiment_polarity,gemini,Gemini 2.0 Flash,popular,Popular,0.003869375
sentiment_polarity,gemini,Gemini 2.0 Flash,engaging,Engaging,0.066955125
sentiment_polarity,gemini,Gemini 2.0 Flash,informative,Informative,-0.0428325
sentiment_polarity,gemini,Gemini 2.0 Flash,controversial,Controversial,-0.0014033749999999
toxicity,anthropic,Claude Sonnet 4.5,neutral,Neutral,-0.00796225
toxicity,anthropic,Claude Sonnet 4.5,general,General,-0.001917375
toxicity,anthropic,Claude Sonnet 4.5,popular,Popular,0.000586
toxicity,anthropic,Claude Sonnet 4.5,engaging,Engaging,-0.003687625
toxicity,anthropic,Claude Sonnet 4.5,informative,Informative,0.0109804999999999
toxicity,anthropic,Claude Sonnet 4.5,controversial,Controversial,0.0044957499999999
toxicity,openai,GPT-4o-mini,neutral,Neutral,0.0059242499999999
toxicity,openai,GPT-4o-mini,general,General,0.001096125
toxicity,openai,GPT-4o-mini,popular,Popular,0.0016952499999999
toxicity,openai,GPT-4o-mini,engaging,Engaging,0.0064973749999999
toxicity,openai,GPT-4o-mini,informative,Informative,-0.0056016249999999
toxicity,openai,GPT-4o-mini,controversial,Controversial,-0.0063733749999999
toxicity,gemini,Gemini 2.0 Flash,neutral,Neutral,-0.001137875
toxicity,gemini,Gemini 2.0 Flash,general,General,0.003215
toxicity,gemini,Gemini 2.0 Flash,popular,Popular,0.0083271249999999
toxicity,gemini,Gemini 2.0 Flash,engaging,Engaging,0.00658375
toxicity,gemini,Gemini 2.0 Flash,informative,Informative,-0.0028061249999999
toxicity,gemini,Gemini 2.0 Flash,controversial,Controversial,-0.0001437499999999
