provider,prompt_style,mean_bias,std_bias,provider_label
anthropic,controversial,-0.0131137453972099,,Claude Sonnet 4.5
anthropic,engaging,-0.0695176173756549,,Claude Sonnet 4.5
anthropic,general,0.0339742037657264,,Claude Sonnet 4.5
anthropic,informative,0.1391232378882039,,Claude Sonnet 4.5
anthropic,neutral,-0.035015328786836,,Claude Sonnet 4.5
anthropic,popular,-0.0604200056741464,,Claude Sonnet 4.5
gemini,controversial,-0.0016447901474639,,Gemini 2.0 Flash
gemini,engaging,0.0210425614793806,,Gemini 2.0 Flash
gemini,general,0.0403911188084062,,Gemini 2.0 Flash
gemini,informative,0.2139373300024397,,Gemini 2.0 Flash
gemini,neutral,0.0680540999858376,,Gemini 2.0 Flash
gemini,popular,0.0106259975579687,,Gemini 2.0 Flash
openai,controversial,-0.0291873070929974,,GPT-4o-mini
openai,engaging,-0.0448681299700105,,GPT-4o-mini
openai,general,0.1050782828034012,,GPT-4o-mini
openai,informative,0.1593649427054506,,GPT-4o-mini
openai,neutral,-0.0026461801109688,,GPT-4o-mini
openai,popular,-0.0224969978052921,,GPT-4o-mini
