provider,prompt_style,mean_bias,std_bias,provider_label
anthropic,controversial,0.0316065067087676,,Claude Sonnet 4.5
anthropic,engaging,0.0693325159972878,,Claude Sonnet 4.5
anthropic,general,-0.0083822470066468,,Claude Sonnet 4.5
anthropic,informative,-0.0374060907751155,,Claude Sonnet 4.5
anthropic,neutral,-0.0010781320207101,,Claude Sonnet 4.5
anthropic,popular,0.0278673862433032,,Claude Sonnet 4.5
gemini,controversial,0.0401772441222965,,Gemini 2.0 Flash
gemini,engaging,0.0673627162184442,,Gemini 2.0 Flash
gemini,general,-0.0209288110408789,,Gemini 2.0 Flash
gemini,informative,-0.0323607998221776,,Gemini 2.0 Flash
gemini,neutral,0.0264332817398048,,Gemini 2.0 Flash
gemini,popular,0.0167070888531736,,Gemini 2.0 Flash
openai,controversial,0.0290209349374807,,GPT-4o-mini
openai,engaging,-0.0054852584753014,,GPT-4o-mini
openai,general,-0.0142185964045073,,GPT-4o-mini
openai,informative,-0.0383961623470603,,GPT-4o-mini
openai,neutral,0.006924760279017,,GPT-4o-mini
openai,popular,-0.0106627105465267,,GPT-4o-mini
