feature,provider,provider_display,prompt_style,prompt_display,directional_bias
polarization_score,anthropic,Claude Sonnet 4.5,neutral,Neutral,0.125854033506058
polarization_score,anthropic,Claude Sonnet 4.5,general,General,0.1029154219185574
polarization_score,anthropic,Claude Sonnet 4.5,popular,Popular,0.064855011599325
polarization_score,anthropic,Claude Sonnet 4.5,engaging,Engaging,0.1048238378541704
polarization_score,anthropic,Claude Sonnet 4.5,informative,Informative,0.238032495577841
polarization_score,anthropic,Claude Sonnet 4.5,controversial,Controversial,0.3766883165954804
polarization_score,openai,GPT-4o-mini,neutral,Neutral,0.1812762930470198
polarization_score,openai,GPT-4o-mini,general,General,0.115426208608637
polarization_score,openai,GPT-4o-mini,popular,Popular,0.0559633304360159
polarization_score,openai,GPT-4o-mini,engaging,Engaging,0.1015952451921481
polarization_score,openai,GPT-4o-mini,informative,Informative,0.2800550722331127
polarization_score,openai,GPT-4o-mini,controversial,Controversial,0.4239222211521768
polarization_score,gemini,Gemini 2.0 Flash,neutral,Neutral,0.1593866188504725
polarization_score,gemini,Gemini 2.0 Flash,general,General,0.0633541275739805
polarization_score,gemini,Gemini 2.0 Flash,popular,Popular,0.0502037661098029
polarization_score,gemini,Gemini 2.0 Flash,engaging,Engaging,0.1378823128817712
polarization_score,gemini,Gemini 2.0 Flash,informative,Informative,0.2152089191948359
polarization_score,gemini,Gemini 2.0 Flash,controversial,Controversial,0.4026501918030752
sentiment_polarity,anthropic,Claude Sonnet 4.5,neutral,Neutral,-0.0230834222703517
sentiment_polarity,anthropic,Claude Sonnet 4.5,general,General,-0.0927898862001078
sentiment_polarity,anthropic,Claude Sonnet 4.5,popular,Popular,-0.1056874099776113
sentiment_polarity,anthropic,Claude Sonnet 4.5,engaging,Engaging,-0.0850728298615501
sentiment_polarity,anthropic,Claude Sonnet 4.5,informative,Informative,-0.0960035141915687
sentiment_polarity,anthropic,Claude Sonnet 4.5,controversial,Controversial,-0.208978445758878
sentiment_polarity,openai,GPT-4o-mini,neutral,Neutral,-0.0305318885448916
sentiment_polarity,openai,GPT-4o-mini,general,General,-0.0280258414270217
sentiment_polarity,openai,GPT-4o-mini,popular,Popular,0.0366773536357986
sentiment_polarity,openai,GPT-4o-mini,engaging,Engaging,0.0175587637634989
sentiment_polarity,openai,GPT-4o-mini,informative,Informative,-0.1045956440327268
sentiment_polarity,openai,GPT-4o-mini,controversial,Controversial,-0.2502511476358273
sentiment_polarity,gemini,Gemini 2.0 Flash,neutral,Neutral,-0.0781185118360824
sentiment_polarity,gemini,Gemini 2.0 Flash,general,General,-0.0546463828021248
sentiment_polarity,gemini,Gemini 2.0 Flash,popular,Popular,-0.0671157837457011
sentiment_polarity,gemini,Gemini 2.0 Flash,engaging,Engaging,-0.1038428196481029
sentiment_polarity,gemini,Gemini 2.0 Flash,informative,Informative,-0.1089600335011539
sentiment_polarity,gemini,Gemini 2.0 Flash,controversial,Controversial,-0.2321085451921816
toxicity,anthropic,Claude Sonnet 4.5,neutral,Neutral,-0.0081208335263733
toxicity,anthropic,Claude Sonnet 4.5,general,General,-0.0085575031380465
toxicity,anthropic,Claude Sonnet 4.5,popular,Popular,0.0232296283767445
toxicity,anthropic,Claude Sonnet 4.5,engaging,Engaging,0.0294841426556378
toxicity,anthropic,Claude Sonnet 4.5,informative,Informative,-0.0350637250480432
toxicity,anthropic,Claude Sonnet 4.5,controversial,Controversial,0.0226345343898315
toxicity,openai,GPT-4o-mini,neutral,Neutral,0.0148235439892669
toxicity,openai,GPT-4o-mini,general,General,-0.0162688885536678
toxicity,openai,GPT-4o-mini,popular,Popular,0.0103935568829575
toxicity,openai,GPT-4o-mini,engaging,Engaging,0.0043451826332577
toxicity,openai,GPT-4o-mini,informative,Informative,-0.0212223934491549
toxicity,openai,GPT-4o-mini,controversial,Controversial,0.0358865086556846
toxicity,gemini,Gemini 2.0 Flash,neutral,Neutral,0.0116385943470546
toxicity,gemini,Gemini 2.0 Flash,general,General,0.0059985440862557
toxicity,gemini,Gemini 2.0 Flash,popular,Popular,0.0144841040414622
toxicity,gemini,Gemini 2.0 Flash,engaging,Engaging,0.0342842124738919
toxicity,gemini,Gemini 2.0 Flash,informative,Informative,-0.0312013848949942
toxicity,gemini,Gemini 2.0 Flash,controversial,Controversial,0.0447051621666864
