provider,prompt_style,category,mean_bias,std_bias,provider_label
anthropic,controversial,center,-0.0820313738931671,,Claude Sonnet 4.5
anthropic,controversial,center-left,-0.0176597767120559,,Claude Sonnet 4.5
anthropic,controversial,center-right,-0.0218868031371987,,Claude Sonnet 4.5
anthropic,controversial,left,0.0576241179402036,,Claude Sonnet 4.5
anthropic,controversial,right,0.0639538358022182,,Claude Sonnet 4.5
anthropic,engaging,center,-0.0523460455048878,,Claude Sonnet 4.5
anthropic,engaging,center-left,0.0571504068535478,,Claude Sonnet 4.5
anthropic,engaging,center-right,-0.0273911812154528,,Claude Sonnet 4.5
anthropic,engaging,left,0.0285151489099156,,Claude Sonnet 4.5
anthropic,engaging,right,-0.0059283290431229,,Claude Sonnet 4.5
anthropic,general,center,-0.0363164204255028,,Claude Sonnet 4.5
anthropic,general,center-left,0.0112150700242347,,Claude Sonnet 4.5
anthropic,general,center-right,-0.0530261116394083,,Claude Sonnet 4.5
anthropic,general,left,0.065194377824347,,Claude Sonnet 4.5
anthropic,general,right,0.0129330842163293,,Claude Sonnet 4.5
anthropic,informative,center,-0.0465361312945932,,Claude Sonnet 4.5
anthropic,informative,center-left,0.0449409164179559,,Claude Sonnet 4.5
anthropic,informative,center-right,-0.0440230745794848,,Claude Sonnet 4.5
anthropic,informative,left,0.0170915291744348,,Claude Sonnet 4.5
anthropic,informative,right,0.0285267602816873,,Claude Sonnet 4.5
anthropic,neutral,center,-0.0436983302173064,,Claude Sonnet 4.5
anthropic,neutral,center-left,0.0323396558632407,,Claude Sonnet 4.5
anthropic,neutral,center-right,-0.0342369878059879,,Claude Sonnet 4.5
anthropic,neutral,left,0.0491252938639253,,Claude Sonnet 4.5
anthropic,neutral,right,-0.0035296317038717,,Claude Sonnet 4.5
anthropic,popular,center,-0.0259404568793719,,Claude Sonnet 4.5
anthropic,popular,center-left,0.0260327108751231,,Claude Sonnet 4.5
anthropic,popular,center-right,-0.056455174381407,,Claude Sonnet 4.5
