provider,prompt_style,mean_bias,std_bias,provider_label
anthropic,controversial,-0.0309723531694695,,Claude Sonnet 4.5
anthropic,engaging,0.0131617905759162,,Claude Sonnet 4.5
anthropic,general,0.0792512023004059,,Claude Sonnet 4.5
anthropic,informative,0.0377253243243243,,Claude Sonnet 4.5
anthropic,neutral,-0.0364681142098273,,Claude Sonnet 4.5
anthropic,popular,0.0437894024556616,,Claude Sonnet 4.5
gemini,controversial,-0.0653732971576227,,Gemini 2.0 Flash
gemini,engaging,0.0287059999999999,,Gemini 2.0 Flash
gemini,general,0.0050655384615384,,Gemini 2.0 Flash
gemini,informative,0.0267156428571428,,Gemini 2.0 Flash
gemini,neutral,0.03486334375,,Gemini 2.0 Flash
gemini,popular,-0.0276344322916666,,Gemini 2.0 Flash
openai,controversial,-0.0279531968911917,,GPT-4o-mini
openai,engaging,-0.1202431837270341,,GPT-4o-mini
openai,general,0.007878028241335,,GPT-4o-mini
openai,informative,0.0596732628865979,,GPT-4o-mini
openai,neutral,-0.0327848684210526,,GPT-4o-mini
openai,popular,-0.0093945414012738,,GPT-4o-mini
