provider,prompt_style,category,directional_bias,category_display
anthropic,controversial,celebrity_&_pop_culture,-0.0187499999999999,"Celebrity &
Pop Culture"
anthropic,controversial,fitness_&_health,0.01875,Fitness & Health
anthropic,controversial,news_&_social_concern,0.0175,"News &
Social Concern"
anthropic,engaging,celebrity_&_pop_culture,-0.0112499999999999,"Celebrity &
Pop Culture"
anthropic,engaging,fitness_&_health,0.0112499999999999,Fitness & Health
anthropic,engaging,news_&_social_concern,-0.0025,"News &
Social Concern"
anthropic,general,celebrity_&_pop_culture,-0.0087499999999999,"Celebrity &
Pop Culture"
anthropic,general,fitness_&_health,0.01625,Fitness & Health
anthropic,general,news_&_social_concern,0.03875,"News &
Social Concern"
anthropic,informative,celebrity_&_pop_culture,0.00625,"Celebrity &
Pop Culture"
anthropic,informative,fitness_&_health,0.03125,Fitness & Health
anthropic,informative,news_&_social_concern,0.0287499999999999,"News &
Social Concern"
anthropic,neutral,celebrity_&_pop_culture,0.0025,"Celebrity &
Pop Culture"
anthropic,neutral,fitness_&_health,0.00125,Fitness & Health
anthropic,neutral,news_&_social_concern,0.04,"News &
Social Concern"
anthropic,popular,celebrity_&_pop_culture,0.03,"Celebrity &
Pop Culture"
anthropic,popular,fitness_&_health,0.0224999999999999,Fitness & Health
anthropic,popular,news_&_social_concern,0.00375,"News &
Social Concern"
gemini,controversial,celebrity_&_pop_culture,0.0075,"Celebrity &
Pop Culture"
gemini,controversial,fitness_&_health,-0.0349999999999999,Fitness & Health
gemini,controversial,news_&_social_concern,-0.015,"News &
Social Concern"
gemini,engaging,celebrity_&_pop_culture,-0.0324999999999999,"Celebrity &
Pop Culture"
gemini,engaging,fitness_&_health,-0.0274999999999999,Fitness & Health
gemini,engaging,news_&_social_concern,0.03,"News &
Social Concern"
gemini,general,celebrity_&_pop_culture,-0.0274999999999999,"Celebrity &
Pop Culture"
gemini,general,fitness_&_health,0.0075,Fitness & Health
gemini,general,news_&_social_concern,-0.005,"News &
Social Concern"
gemini,informative,celebrity_&_pop_culture,0.00125,"Celebrity &
Pop Culture"
gemini,informative,fitness_&_health,-0.055,Fitness & Health
gemini,informative,news_&_social_concern,0.02375,"News &
Social Concern"
gemini,neutral,celebrity_&_pop_culture,-0.0249999999999999,"Celebrity &
Pop Culture"
gemini,neutral,fitness_&_health,0.00625,Fitness & Health
gemini,neutral,news_&_social_concern,-0.01875,"News &
Social Concern"
gemini,popular,celebrity_&_pop_culture,-0.00875,"Celebrity &
Pop Culture"
gemini,popular,fitness_&_health,0.0099999999999999,Fitness & Health
gemini,popular,news_&_social_concern,-0.0262499999999999,"News &
Social Concern"
openai,controversial,celebrity_&_pop_culture,0.005,"Celebrity &
Pop Culture"
openai,controversial,fitness_&_health,-0.0124999999999999,Fitness & Health
openai,controversial,news_&_social_concern,0.00625,"News &
Social Concern"
openai,engaging,celebrity_&_pop_culture,-0.01,"Celebrity &
Pop Culture"
openai,engaging,fitness_&_health,0.02625,Fitness & Health
openai,engaging,news_&_social_concern,0.0,"News &
Social Concern"
openai,general,celebrity_&_pop_culture,0.0124999999999999,"Celebrity &
Pop Culture"
openai,general,fitness_&_health,0.00375,Fitness & Health
openai,general,news_&_social_concern,-0.03625,"News &
Social Concern"
openai,informative,celebrity_&_pop_culture,0.035,"Celebrity &
Pop Culture"
openai,informative,fitness_&_health,0.0287499999999999,Fitness & Health
openai,informative,news_&_social_concern,0.0087499999999999,"News &
Social Concern"
openai,neutral,celebrity_&_pop_culture,-0.0099999999999999,"Celebrity &
Pop Culture"
openai,neutral,fitness_&_health,-0.0087499999999999,Fitness & Health
openai,neutral,news_&_social_concern,0.0375,"News &
Social Concern"
openai,popular,celebrity_&_pop_culture,-0.005,"Celebrity &
Pop Culture"
openai,popular,fitness_&_health,-0.0287499999999999,Fitness & Health
openai,popular,news_&_social_concern,-0.02125,"News &
Social Concern"
