provider,prompt_style,mean_bias,std_bias,provider_label
anthropic,controversial,0.0044957499999999,,Claude Sonnet 4.5
anthropic,engaging,-0.003687625,,Claude Sonnet 4.5
anthropic,general,-0.001917375,,Claude Sonnet 4.5
anthropic,informative,0.0109804999999999,,Claude Sonnet 4.5
anthropic,neutral,-0.00796225,,Claude Sonnet 4.5
anthropic,popular,0.000586,,Claude Sonnet 4.5
gemini,controversial,-0.0001437499999999,,Gemini 2.0 Flash
gemini,engaging,0.00658375,,Gemini 2.0 Flash
gemini,general,0.003215,,Gemini 2.0 Flash
gemini,informative,-0.0028061249999999,,Gemini 2.0 Flash
gemini,neutral,-0.001137875,,Gemini 2.0 Flash
gemini,popular,0.0083271249999999,,Gemini 2.0 Flash
openai,controversial,-0.0063733749999999,,GPT-4o-mini
openai,engaging,0.0064973749999999,,GPT-4o-mini
openai,general,0.001096125,,GPT-4o-mini
openai,informative,-0.0056016249999999,,GPT-4o-mini
openai,neutral,0.0059242499999999,,GPT-4o-mini
openai,popular,0.0016952499999999,,GPT-4o-mini
