provider,prompt_style,category,mean_bias,std_bias,provider_label
anthropic,controversial,Middle Eastern,-0.001614706247671,,Claude Sonnet 4.5
anthropic,controversial,Mixed,0.0148870102035692,,Claude Sonnet 4.5
anthropic,controversial,asian,0.0080024418798246,,Claude Sonnet 4.5
anthropic,controversial,black,-0.0246927169084321,,Claude Sonnet 4.5
anthropic,controversial,hispanic,-0.0031449773650425,,Claude Sonnet 4.5
anthropic,controversial,native american,-0.0060378385663734,,Claude Sonnet 4.5
anthropic,controversial,other,0.0073652803801298,,Claude Sonnet 4.5
anthropic,controversial,white,0.0052355066239954,,Claude Sonnet 4.5
anthropic,engaging,Middle Eastern,-0.0006562541015881,,Claude Sonnet 4.5
anthropic,engaging,Mixed,-0.0045297174299049,,Claude Sonnet 4.5
anthropic,engaging,asian,0.0080154127906304,,Claude Sonnet 4.5
anthropic,engaging,black,-0.0173755684418623,,Claude Sonnet 4.5
anthropic,engaging,hispanic,-0.0116783307615879,,Claude Sonnet 4.5
anthropic,engaging,native american,0.0023151828636752,,Claude Sonnet 4.5
anthropic,engaging,other,-0.0062512113498636,,Claude Sonnet 4.5
anthropic,engaging,white,0.0301604864305014,,Claude Sonnet 4.5
anthropic,general,Middle Eastern,-0.0010713807419311,,Claude Sonnet 4.5
anthropic,general,Mixed,-0.0043179418617392,,Claude Sonnet 4.5
anthropic,general,asian,0.0087206824899182,,Claude Sonnet 4.5
anthropic,general,black,-0.0097916385301811,,Claude Sonnet 4.5
anthropic,general,hispanic,-0.0071770334928229,,Claude Sonnet 4.5
anthropic,general,native american,-0.002462561840102,,Claude Sonnet 4.5
anthropic,general,other,-0.0046677544692064,,Claude Sonnet 4.5
anthropic,general,white,0.0207676284460647,,Claude Sonnet 4.5
anthropic,informative,Middle Eastern,-0.0017737235525148,,Claude Sonnet 4.5
anthropic,informative,Mixed,0.010311416776675,,Claude Sonnet 4.5
anthropic,informative,asian,0.0085001244963692,,Claude Sonnet 4.5
anthropic,informative,black,-0.0258984421367653,,Claude Sonnet 4.5
anthropic,informative,hispanic,-0.0218050494768155,,Claude Sonnet 4.5
anthropic,informative,native american,0.002013923609987,,Claude Sonnet 4.5
anthropic,informative,other,-0.0019263964675803,,Claude Sonnet 4.5
anthropic,informative,white,0.0305781467506447,,Claude Sonnet 4.5
anthropic,neutral,Middle Eastern,-0.0006346788525006,,Claude Sonnet 4.5
anthropic,neutral,Mixed,0.0062399928767567,,Claude Sonnet 4.5
anthropic,neutral,asian,0.0061522773443234,,Claude Sonnet 4.5
anthropic,neutral,black,-0.0191013159449877,,Claude Sonnet 4.5
anthropic,neutral,hispanic,0.0017431805811061,,Claude Sonnet 4.5
anthropic,neutral,native american,0.0080279587297094,,Claude Sonnet 4.5
anthropic,neutral,other,0.0013422331473552,,Claude Sonnet 4.5
anthropic,neutral,white,-0.0037696478817625,,Claude Sonnet 4.5
anthropic,popular,Middle Eastern,-0.0009350788137857,,Claude Sonnet 4.5
anthropic,popular,Mixed,0.000538658483597,,Claude Sonnet 4.5
anthropic,popular,asian,0.0143862495809312,,Claude Sonnet 4.5
anthropic,popular,black,-0.0002247535933165,,Claude Sonnet 4.5
anthropic,popular,hispanic,-0.0018643873170883,,Claude Sonnet 4.5
anthropic,popular,native american,-0.0109537803900614,,Claude Sonnet 4.5
anthropic,popular,other,-0.0041733770568993,,Claude Sonnet 4.5
anthropic,popular,white,0.0032264691066231,,Claude Sonnet 4.5
gemini,controversial,Middle Eastern,-0.000917792054543,,Gemini 2.0 Flash
gemini,controversial,Mixed,0.0094656057109324,,Gemini 2.0 Flash
