post_id,user_id,text,author_gender,author_partisanship,author_ideology,author_race,author_age,author_education,author_income,author_marital_status,author_religiosity,created_at,user_followers_count,user_friends_count,user_statuses_count,user_favourites_count,favorite_count,retweet_count,retweeted
post_00001,user_00001,Education funding deserves more attention.,non-binary,Independent,conservative,White,65+,high school,100k+,divorced,somewhat religious,2023-02-01,7346,122,6174,36548,71,13,True
post_00002,user_00001,Immigration policy needs nuance.,non-binary,Independent,conservative,White,65+,high school,100k+,divorced,somewhat religious,2023-03-17,7346,122,6174,36548,16,3,True
post_00003,user_00002,Renewable energy is the future.,female,Republican,liberal,Asian,35-44,college,75k-100k,married,not religious,2023-01-04,14378,972,4239,79407,101,69,False
post_00004,user_00002,Mental health awareness is more important than ever.,female,Republican,liberal,Asian,35-44,college,75k-100k,married,not religious,2023-01-29,14378,972,4239,79407,301,35,True
post_00005,user_00003,Healthcare costs are still rising — we need to talk.,female,Republican,moderate,Hispanic,35-44,high school,75k-100k,single,not religious,2023-02-05,10513,2879,3562,45097,110,43,True
post_00006,user_00003,Immigration policy needs nuance.,female,Republican,moderate,Hispanic,35-44,high school,75k-100k,single,not religious,2023-01-12,10513,2879,3562,45097,49,45,False
post_00007,user_00004,Renewable energy is the future.,male,Democrat,conservative,White,65+,postgraduate,50k-75k,single,not religious,2023-02-28,39615,1103,6711,6195,63,48,True
post_00008,user_00004,Gun safety is a critical issue right now.,male,Democrat,conservative,White,65+,postgraduate,50k-75k,single,not religious,2023-03-12,39615,1103,6711,6195,321,79,False
post_00009,user_00005,Education funding deserves more attention.,non-binary,Independent,very conservative,Hispanic,65+,high school,75k-100k,married,very religious,2023-01-06,37887,807,5871,9616,395,37,True
post_00010,user_00005,Really interesting take on tax reform.,non-binary,Independent,very conservative,Hispanic,65+,high school,75k-100k,married,very religious,2023-01-30,37887,807,5871,9616,194,35,False
post_00011,user_00006,Gun safety is a critical issue right now.,non-binary,Democrat,moderate,Other,35-44,college,<25k,divorced,somewhat religious,2023-01-27,23959,686,3132,47066,359,9,True
post_00012,user_00006,Education funding deserves more attention.,non-binary,Democrat,moderate,Other,35-44,college,<25k,divorced,somewhat religious,2023-03-10,23959,686,3132,47066,83,59,False
post_00013,user_00007,The housing market is wild lately.,male,Independent,conservative,Black,18-24,college,100k+,married,not religious,2023-01-29,17741,2641,5737,73500,393,7,True
post_00014,user_00007,The housing market is wild lately.,male,Independent,conservative,Black,18-24,college,100k+,married,not religious,2023-01-05,17741,2641,5737,73500,205,34,True
post_00015,user_00008,Mental health awareness is more important than ever.,female,Independent,liberal,Asian,55-64,postgraduate,100k+,divorced,not religious,2023-01-28,13876,2343,7279,41745,202,58,True
post_00016,user_00008,Healthcare costs are still rising — we need to talk.,female,Independent,liberal,Asian,55-64,postgraduate,100k+,divorced,not religious,2023-02-03,13876,2343,7279,41745,126,71,False
post_00017,user_00009,The housing market is wild lately.,non-binary,Independent,moderate,White,25-34,college,50k-75k,married,religious,2023-02-21,38361,1774,7454,76984,112,17,False
post_00018,user_00009,Thoughts on climate policy today.,non-binary,Independent,moderate,White,25-34,college,50k-75k,married,religious,2023-01-12,38361,1774,7454,76984,56,19,True
post_00019,user_00010,Media bias is real and it matters.,male,Democrat,liberal,Other,65+,college,<25k,single,not religious,2023-02-18,27716,2462,620,50932,239,67,False
post_00020,user_00010,Thoughts on climate policy today.,male,Democrat,liberal,Other,65+,college,<25k,single,not religious,2023-03-12,27716,2462,620,50932,348,14,False
post_00021,user_00011,Mental health awareness is more important than ever.,male,Independent,very conservative,Black,45-54,college,75k-100k,married,somewhat religious,2023-01-21,22343,476,2504,57485,1,33,True
post_00022,user_00011,Really interesting take on tax reform.,male,Independent,very conservative,Black,45-54,college,75k-100k,married,somewhat religious,2023-03-06,22343,476,2504,57485,320,38,True
post_00023,user_00012,Renewable energy is the future.,female,Republican,moderate,Other,55-64,high school,<25k,single,somewhat religious,2023-03-11,10066,1551,6346,21674,0,76,False
post_00024,user_00012,Thoughts on climate policy today.,female,Republican,moderate,Other,55-64,high school,<25k,single,somewhat religious,2023-03-04,10066,1551,6346,21674,57,46,False
post_00025,user_00013,Really interesting take on tax reform.,non-binary,Democrat,very liberal,Hispanic,45-54,postgraduate,75k-100k,married,very religious,2023-01-11,15742,257,2073,74864,374,62,True
post_00026,user_00013,Healthcare costs are still rising — we need to talk.,non-binary,Democrat,very liberal,Hispanic,45-54,postgraduate,75k-100k,married,very religious,2023-03-10,15742,257,2073,74864,65,60,True
post_00027,user_00014,Renewable energy is the future.,female,Republican,liberal,Other,18-24,college,75k-100k,single,religious,2023-01-28,17420,2181,7246,55961,386,25,False
post_00028,user_00014,The housing market is wild lately.,female,Republican,liberal,Other,18-24,college,75k-100k,single,religious,2023-02-21,17420,2181,7246,55961,224,66,False
post_00029,user_00015,Thoughts on climate policy today.,non-binary,Independent,very conservative,Asian,55-64,postgraduate,50k-75k,single,somewhat religious,2023-02-13,7980,1035,1940,8892,301,70,True
post_00030,user_00015,Education funding deserves more attention.,non-binary,Independent,very conservative,Asian,55-64,postgraduate,50k-75k,single,somewhat religious,2023-03-17,7980,1035,1940,8892,3,9,True
post_00031,user_00016,Really interesting take on tax reform.,female,Independent,very liberal,White,25-34,college,25k-50k,single,religious,2023-02-12,15053,296,7517,4617,263,30,False
post_00032,user_00016,Mental health awareness is more important than ever.,female,Independent,very liberal,White,25-34,college,25k-50k,single,religious,2023-03-27,15053,296,7517,4617,109,69,True
post_00033,user_00017,Immigration policy needs nuance.,female,Republican,very liberal,White,45-54,postgraduate,75k-100k,single,somewhat religious,2023-03-02,37473,2380,3972,32350,97,12,True
post_00034,user_00017,Immigration policy needs nuance.,female,Republican,very liberal,White,45-54,postgraduate,75k-100k,single,somewhat religious,2023-03-26,37473,2380,3972,32350,181,54,False
post_00035,user_00018,Immigration policy needs nuance.,female,Independent,liberal,Other,55-64,postgraduate,50k-75k,single,very religious,2023-01-08,30656,241,5616,13399,372,43,True
post_00036,user_00018,Education funding deserves more attention.,female,Independent,liberal,Other,55-64,postgraduate,50k-75k,single,very religious,2023-02-01,30656,241,5616,13399,97,68,False
post_00037,user_00019,Education funding deserves more attention.,non-binary,Democrat,conservative,White,45-54,high school,50k-75k,divorced,very religious,2023-03-01,9236,1748,1603,37009,38,56,True
post_00038,user_00019,Renewable energy is the future.,non-binary,Democrat,conservative,White,45-54,high school,50k-75k,divorced,very religious,2023-01-07,9236,1748,1603,37009,7,11,True
post_00039,user_00020,Immigration policy needs nuance.,non-binary,Republican,conservative,Hispanic,18-24,college,<25k,married,somewhat religious,2023-01-28,10949,1684,4078,63592,30,21,False
post_00040,user_00020,Immigration policy needs nuance.,non-binary,Republican,conservative,Hispanic,18-24,college,<25k,married,somewhat religious,2023-01-01,10949,1684,4078,63592,135,58,False
post_00041,user_00021,Mental health awareness is more important than ever.,non-binary,Republican,moderate,White,45-54,high school,25k-50k,married,very religious,2023-03-26,27772,2873,7942,73345,79,24,False
post_00042,user_00021,Thoughts on climate policy today.,non-binary,Republican,moderate,White,45-54,high school,25k-50k,married,very religious,2023-01-28,27772,2873,7942,73345,296,69,True
