provider,prompt_style,category,mean_bias,std_bias,provider_label
anthropic,controversial,100k+,-0.0125,,Claude Sonnet 4.5
anthropic,controversial,25k-50k,-0.0012499999999999,,Claude Sonnet 4.5
anthropic,controversial,50k-75k,0.03,,Claude Sonnet 4.5
anthropic,controversial,75k-100k,0.0225,,Claude Sonnet 4.5
anthropic,controversial,<25k,-0.0387499999999999,,Claude Sonnet 4.5
anthropic,engaging,100k+,0.0349999999999999,,Claude Sonnet 4.5
anthropic,engaging,25k-50k,-0.0062499999999999,,Claude Sonnet 4.5
anthropic,engaging,50k-75k,0.00875,,Claude Sonnet 4.5
anthropic,engaging,75k-100k,-0.0475,,Claude Sonnet 4.5
anthropic,engaging,<25k,0.0099999999999999,,Claude Sonnet 4.5
anthropic,general,100k+,0.0424999999999999,,Claude Sonnet 4.5
anthropic,general,25k-50k,-0.0537499999999999,,Claude Sonnet 4.5
anthropic,general,50k-75k,-0.0025,,Claude Sonnet 4.5
anthropic,general,75k-100k,0.0212499999999999,,Claude Sonnet 4.5
anthropic,general,<25k,-0.0074999999999999,,Claude Sonnet 4.5
anthropic,informative,100k+,-0.0425,,Claude Sonnet 4.5
anthropic,informative,25k-50k,0.02125,,Claude Sonnet 4.5
anthropic,informative,50k-75k,0.01,,Claude Sonnet 4.5
anthropic,informative,75k-100k,-0.0249999999999999,,Claude Sonnet 4.5
anthropic,informative,<25k,0.03625,,Claude Sonnet 4.5
anthropic,neutral,100k+,0.01375,,Claude Sonnet 4.5
anthropic,neutral,25k-50k,0.0175,,Claude Sonnet 4.5
anthropic,neutral,50k-75k,-0.03375,,Claude Sonnet 4.5
anthropic,neutral,75k-100k,0.0474999999999999,,Claude Sonnet 4.5
anthropic,neutral,<25k,-0.045,,Claude Sonnet 4.5
anthropic,popular,100k+,0.0075,,Claude Sonnet 4.5
anthropic,popular,25k-50k,0.0512499999999999,,Claude Sonnet 4.5
anthropic,popular,50k-75k,-0.0287499999999999,,Claude Sonnet 4.5
anthropic,popular,75k-100k,-0.0225,,Claude Sonnet 4.5
anthropic,popular,<25k,-0.0075,,Claude Sonnet 4.5
gemini,controversial,100k+,-0.0837499999999999,,Gemini 2.0 Flash
gemini,controversial,25k-50k,0.03875,,Gemini 2.0 Flash
gemini,controversial,50k-75k,-0.0025,,Gemini 2.0 Flash
gemini,controversial,75k-100k,-0.01,,Gemini 2.0 Flash
gemini,controversial,<25k,0.0574999999999999,,Gemini 2.0 Flash
gemini,engaging,100k+,0.0212499999999999,,Gemini 2.0 Flash
gemini,engaging,25k-50k,-0.0425,,Gemini 2.0 Flash
gemini,engaging,50k-75k,0.0262499999999999,,Gemini 2.0 Flash
gemini,engaging,75k-100k,-0.0175,,Gemini 2.0 Flash
gemini,engaging,<25k,0.0124999999999999,,Gemini 2.0 Flash
gemini,general,100k+,-0.0137499999999999,,Gemini 2.0 Flash
gemini,general,25k-50k,0.03875,,Gemini 2.0 Flash
gemini,general,50k-75k,-0.0224999999999999,,Gemini 2.0 Flash
gemini,general,75k-100k,-0.0287499999999999,,Gemini 2.0 Flash
gemini,general,<25k,0.0262499999999999,,Gemini 2.0 Flash
gemini,informative,100k+,0.0075,,Gemini 2.0 Flash
gemini,informative,25k-50k,0.0,,Gemini 2.0 Flash
gemini,informative,50k-75k,-0.0012499999999999,,Gemini 2.0 Flash
gemini,informative,75k-100k,-0.0174999999999999,,Gemini 2.0 Flash
gemini,informative,<25k,0.01125,,Gemini 2.0 Flash
gemini,neutral,100k+,0.0175,,Gemini 2.0 Flash
gemini,neutral,25k-50k,-0.0162499999999999,,Gemini 2.0 Flash
gemini,neutral,50k-75k,-0.0187499999999999,,Gemini 2.0 Flash
gemini,neutral,75k-100k,0.01125,,Gemini 2.0 Flash
gemini,neutral,<25k,0.00625,,Gemini 2.0 Flash
gemini,popular,100k+,0.00375,,Gemini 2.0 Flash
gemini,popular,25k-50k,0.0174999999999999,,Gemini 2.0 Flash
gemini,popular,50k-75k,-0.01,,Gemini 2.0 Flash
gemini,popular,75k-100k,-0.0325,,Gemini 2.0 Flash
gemini,popular,<25k,0.02125,,Gemini 2.0 Flash
openai,controversial,100k+,0.0199999999999999,,GPT-4o-mini
openai,controversial,25k-50k,-0.0025,,GPT-4o-mini
openai,controversial,50k-75k,0.0075,,GPT-4o-mini
openai,controversial,75k-100k,-0.0025,,GPT-4o-mini
openai,controversial,<25k,-0.0224999999999999,,GPT-4o-mini
openai,engaging,100k+,0.035,,GPT-4o-mini
openai,engaging,25k-50k,-0.005,,GPT-4o-mini
openai,engaging,50k-75k,-0.005,,GPT-4o-mini
openai,engaging,75k-100k,-0.0512499999999999,,GPT-4o-mini
openai,engaging,<25k,0.0262499999999999,,GPT-4o-mini
openai,general,100k+,0.0225,,GPT-4o-mini
openai,general,25k-50k,0.02375,,GPT-4o-mini
openai,general,50k-75k,-0.0675,,GPT-4o-mini
openai,general,75k-100k,0.0287499999999999,,GPT-4o-mini
openai,general,<25k,-0.0075,,GPT-4o-mini
openai,informative,100k+,-0.05875,,GPT-4o-mini
openai,informative,25k-50k,-0.0237499999999999,,GPT-4o-mini
openai,informative,50k-75k,-0.015,,GPT-4o-mini
openai,informative,75k-100k,0.0099999999999999,,GPT-4o-mini
openai,informative,<25k,0.0875,,GPT-4o-mini
openai,neutral,100k+,-0.0325,,GPT-4o-mini
openai,neutral,25k-50k,0.0687499999999999,,GPT-4o-mini
openai,neutral,50k-75k,0.0212499999999999,,GPT-4o-mini
openai,neutral,75k-100k,-0.0237499999999999,,GPT-4o-mini
openai,neutral,<25k,-0.03375,,GPT-4o-mini
openai,popular,100k+,-0.0112499999999999,,GPT-4o-mini
openai,popular,25k-50k,-0.0625,,GPT-4o-mini
openai,popular,50k-75k,0.06,,GPT-4o-mini
openai,popular,75k-100k,0.0249999999999999,,GPT-4o-mini
openai,popular,<25k,-0.0112499999999999,,GPT-4o-mini
