post_id,user_id,text,author_gender,author_partisanship,author_ideology,author_race,author_age,author_education,author_income,author_marital_status,author_religiosity,selected,prompt_style,trial_id,sentiment_polarity,sentiment_subjectivity,primary_topic,polarization_score,toxicity
post_00119,user_00060,Today I'm thinking about renewable energy and what it means for all of us.,female,Democrat,moderate,White,35-44,postgraduate,50k-75k,married,not religious,0,general,0,0.5479,0.7774,news_&_social_concern,0.7367,0.0724
post_00071,user_00036,Had a great conversation today about climate policy. So much nuance.,male,Democrat,very conservative,White,25-34,college,25k-50k,married,religious,0,general,0,-0.1222,0.9718,business_&_entrepreneurs,0.8864,0.0967
post_00164,user_00082,Today I'm thinking about media bias and what it means for all of us.,male,Republican,conservative,White,25-34,college,75k-100k,single,somewhat religious,0,general,0,0.7172,0.5007,diaries_&_daily_life,0.9211,0.0466
post_00162,user_00081,Had a great conversation today about renewable energy. So much nuance.,female,Other,very conservative,Hispanic,65+,college,75k-100k,married,not religious,0,general,0,0.3947,0.1439,learning_&_educational,0.5036,0.2623
post_00074,user_00037,Reading about infrastructure this morning — highly recommend.,non-binary,Republican,liberal,White,45-54,postgraduate,25k-50k,married,somewhat religious,0,general,0,-0.8116,0.0139,travel_&_adventure,0.5203,0.085
post_00097,user_00049,Just saw the news about election integrity. Interesting times ahead.,male,Republican,liberal,Asian,25-34,postgraduate,<25k,single,very religious,0,general,0,0.9512,0.2297,travel_&_adventure,0.7999,0.1684
post_00017,user_00009,Why does no one talk about housing affordability enough? It really matters.,male,Democrat,liberal,White,55-64,college,25k-50k,married,not religious,0,general,0,0.5223,0.1318,family,0.3145,0.2376
post_00121,user_00061,Reading about social media this morning — highly recommend.,male,Republican,liberal,White,35-44,postgraduate,50k-75k,married,very religious,0,general,0,0.5721,0.6777,arts_&_culture,0.8374,0.2351
post_00075,user_00038,Reading about foreign policy this morning — highly recommend.,female,Independent,liberal,Hispanic,55-64,college,100k+,married,somewhat religious,0,general,0,-0.7438,0.1218,politics,0.4941,0.1315
post_00144,user_00072,The housing affordability situation has been on my mind a lot lately.,female,Democrat,conservative,Other,25-34,postgraduate,100k+,married,somewhat religious,0,general,0,-0.0992,0.5063,other,0.1159,0.1429
post_00084,user_00042,"Reminder that renewable energy affects everyone, not just a few.",male,Independent,liberal,Hispanic,35-44,postgraduate,25k-50k,single,somewhat religious,0,general,0,-0.2584,0.6943,news_&_social_concern,0.0721,0.2984
