provider,prompt_style,mean_bias,std_bias,provider_label
anthropic,controversial,-0.0355774758924365,,Claude Sonnet 4.5
anthropic,engaging,-0.1468720409807624,,Claude Sonnet 4.5
anthropic,general,-0.2676356707966551,,Claude Sonnet 4.5
anthropic,informative,-0.177520473270662,,Claude Sonnet 4.5
anthropic,neutral,-0.1364787884746591,,Claude Sonnet 4.5
anthropic,popular,-0.2199927513520659,,Claude Sonnet 4.5
gemini,controversial,-0.1081429265921244,,Gemini 2.0 Flash
gemini,engaging,-0.1342489743076684,,Gemini 2.0 Flash
gemini,general,-0.1570917643017463,,Gemini 2.0 Flash
gemini,informative,-0.1557439768692423,,Gemini 2.0 Flash
gemini,neutral,-0.10196997592409,,Gemini 2.0 Flash
gemini,popular,-0.168038436418069,,Gemini 2.0 Flash
openai,controversial,-0.0727747377793725,,GPT-4o-mini
openai,engaging,-0.1070956696293595,,GPT-4o-mini
openai,general,-0.1170448611206904,,GPT-4o-mini
openai,informative,-0.1479408810446262,,GPT-4o-mini
openai,neutral,-0.0605085055789281,,GPT-4o-mini
openai,popular,-0.0994415227683686,,GPT-4o-mini
