provider,prompt_style,mean_bias,std_bias,provider_label
anthropic,controversial,0.0144646156373193,,Claude Sonnet 4.5
anthropic,engaging,-0.0288828348745046,,Claude Sonnet 4.5
anthropic,general,-0.0618418419689119,,Claude Sonnet 4.5
anthropic,informative,0.0571223465982028,,Claude Sonnet 4.5
anthropic,neutral,0.0022306292428198,,Claude Sonnet 4.5
anthropic,popular,-0.0179430181112548,,Claude Sonnet 4.5
gemini,controversial,0.0477227451108213,,Gemini 2.0 Flash
gemini,engaging,-0.0410341501340482,,Gemini 2.0 Flash
gemini,general,-0.0100674805194805,,Gemini 2.0 Flash
gemini,informative,-0.0185028659658344,,Gemini 2.0 Flash
gemini,neutral,-0.005062909090909,,Gemini 2.0 Flash
gemini,popular,0.0238893496732026,,Gemini 2.0 Flash
openai,controversial,0.0072393636363636,,GPT-4o-mini
openai,engaging,-0.0688215857908847,,GPT-4o-mini
openai,general,-0.0059086219512195,,GPT-4o-mini
openai,informative,0.014700559602649,,GPT-4o-mini
openai,neutral,0.0065386126005361,,GPT-4o-mini
openai,popular,0.0342815411913815,,GPT-4o-mini
